A1	Codigouf	Codigomunicipio	Nome	A151	A152	A153	A154	A155	A156	A157	A158	A159	A160	A161	A162	A163	A164	A165	A166	A167	A168	A169	A170	A171	A172	A173	A174	A175	A176	A177	A178	A179	A180	A181	A182	A183	A184	A185	A186	A187	A188	A189	A190	A191	A192	A193	A194	A195	A196	A197	A198
1100015	11	15	ALTA FLORESTA DOESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100023	11	23	ARIQUEMES	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não
1100031	11	31	CABIXI	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100049	11	49	CACOAL	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100056	11	56	CEREJEIRAS	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100064	11	64	COLORADO DO OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100072	11	72	CORUMBIARA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-
1100080	11	80	COSTA MARQUES	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100098	11	98	ESPIGAO D'OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100106	11	106	GUAJARA-MIRIM	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100114	11	114	JARU	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100122	11	122	JI-PARANA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não
1100130	11	130	MACHADINHO D'OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100148	11	148	NOVA BRASILANDIA D'OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100155	11	155	OURO PRETO DO OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100189	11	189	PIMENTA BUENO	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100205	11	205	PORTO VELHO	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100254	11	254	PRESIDENTE MEDICI	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100262	11	262	RIO CRESPO	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não
1100288	11	288	ROLIM DE MOURA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100296	11	296	SANTA LUZIA D'OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100304	11	304	VILHENA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Não	Sim	Sim	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100320	11	320	SAO MIGUEL DO GUAPORE	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100338	11	338	NOVA MAMORE	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100346	11	346	ALVORADA D'OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100379	11	379	ALTO ALEGRE DOS PARECIS	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100403	11	403	ALTO PARAISO	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não
1100452	11	452	BURITIS	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100502	11	502	NOVO HORIZONTE DO OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100601	11	601	CACAULANDIA	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1100700	11	700	CAMPO NOVO DE RONDONIA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-
1100809	11	809	CANDEIAS DO JAMARI	Sim	Não	Sim	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100908	11	908	CASTANHEIRAS	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100924	11	924	CHUPINGUAIA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1100940	11	940	CUJUBIM	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1101005	11	1005	GOVERNADOR JORGE TEIXEIRA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1101104	11	1104	ITAPUA DO OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não
1101203	11	1203	MINISTRO ANDREAZZA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1101302	11	1302	MIRANTE DA SERRA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1101401	11	1401	MONTE NEGRO	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não
1101435	11	1435	NOVA UNIAO	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1101450	11	1450	PARECIS	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
1101468	11	1468	PIMENTEIRAS DO OESTE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
1101476	11	1476	PRIMAVERA DE RONDONIA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
