A1	Codigouf	Codigomunicipio	Nome	A140	A141	A142	A143	A144	A145	A146	A147	A148	A149	A150
1100015	11	15	ALTA FLORESTA DOESTE	Sim	Não	Não	-	-	Não	-	-	-	-	Sim
1100023	11	23	ARIQUEMES	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1100031	11	31	CABIXI	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100049	11	49	CACOAL	Não	Não	Sim	Elaboração do Plano de Desenvolvimento Sustentável	Sim	Sim	Sim	Sim	Sim	Sim	Não
1100056	11	56	CEREJEIRAS	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Não	Não
1100064	11	64	COLORADO DO OESTE	Não	Não sabe informar	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Não
1100072	11	72	CORUMBIARA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100080	11	80	COSTA MARQUES	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1100098	11	98	ESPIGAO D'OESTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100106	11	106	GUAJARA-MIRIM	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1100114	11	114	JARU	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1100122	11	122	JI-PARANA	Sim	Não	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1100130	11	130	MACHADINHO D'OESTE	Não	Não	Não	-	-	Sim	Não	-	-	-	Não
1100148	11	148	NOVA BRASILANDIA D'OESTE	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1100155	11	155	OURO PRETO DO OESTE	Não	Não	Sim	Sensibilização/mobilização	Não possui Fórum	Não	-	-	-	-	Não
1100189	11	189	PIMENTA BUENO	Sim	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
1100205	11	205	PORTO VELHO	Sim	Sim	Sim	Sensibilização/mobilização	Não	Sim	Sim	Sim	Sim	Sim	Não
1100254	11	254	PRESIDENTE MEDICI	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1100262	11	262	RIO CRESPO	Sim	Sim	Não	-	-	Sim	Não	-	-	-	Sim
1100288	11	288	ROLIM DE MOURA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1100296	11	296	SANTA LUZIA D'OESTE	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100304	11	304	VILHENA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Não
1100320	11	320	SAO MIGUEL DO GUAPORE	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100338	11	338	NOVA MAMORE	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Sim
1100346	11	346	ALVORADA D'OESTE	Não	Não	Sim	Sensibilização/mobilização	Não	Não	-	-	-	-	Não
1100379	11	379	ALTO ALEGRE DOS PARECIS	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1100403	11	403	ALTO PARAISO	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1100452	11	452	BURITIS	Sim	Não	Não	-	-	Sim	Não	-	-	-	Sim
1100502	11	502	NOVO HORIZONTE DO OESTE	Não	Não sabe informar	Não	-	-	Não	-	-	-	-	Não
1100601	11	601	CACAULANDIA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100700	11	700	CAMPO NOVO DE RONDONIA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1100809	11	809	CANDEIAS DO JAMARI	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100908	11	908	CASTANHEIRAS	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100924	11	924	CHUPINGUAIA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1100940	11	940	CUJUBIM	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1101005	11	1005	GOVERNADOR JORGE TEIXEIRA	Sim	Sim	Não	-	-	Não	-	-	-	-	Sim
1101104	11	1104	ITAPUA DO OESTE	Não	Não	Sim	Sensibilização/mobilização	Sim	Não	-	-	-	-	Sim
1101203	11	1203	MINISTRO ANDREAZZA	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1101302	11	1302	MIRANTE DA SERRA	Não	Não	Não	-	-	Não	-	-	-	-	Não
1101401	11	1401	MONTE NEGRO	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1101435	11	1435	NOVA UNIAO	Não	Não	Não	-	-	Não	-	-	-	-	Não
1101450	11	1450	PARECIS	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Sim
1101468	11	1468	PIMENTEIRAS DO OESTE	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Sim	Não	-	-	-	Sim
1101476	11	1476	PRIMAVERA DE RONDONIA	Não	Não	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Não
1101484	11	1484	SAO FELIPE D'OESTE	Não	Sim	Sim	Implementação de ações da Agenda 21 em políticas públicas	Não	Não	-	-	-	-	Sim
1101492	11	1492	SAO FRANCISCO DO GUAPORE	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1101500	11	1500	SERINGUEIRAS	Não	Não	Não	-	-	Não	-	-	-	-	Sim
1101559	11	1559	TEIXEIROPOLIS	Não	Não	Não	-	-	Não	-	-	-	-	Não
1101609	11	1609	THEOBROMA	Não	Não	Não	-	-	Sim	Sim	Sim	Não	Não	Sim
1101708	11	1708	URUPA	Não	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1101757	11	1757	VALE DO ANARI	Sim	Não	Não	-	-	Sim	Sim	Sim	Sim	Sim	Sim
1101807	11	1807	VALE DO PARAISO	Não	Não	Não	-	-	Sim	Sim	Sim	Não	Não	Não
1200013	12	13	ACRELANDIA	Não	Não	Desconhece o que seja Agenda NãoSim Local	-	-	Não	-	-	-	-	Sim
