A1	Codigouf	Codigomunicipio	Nome	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102	A103	A104	A105	A106	A107	A108	A109	A110	A111	A112	A113	A114	A115	A116	A117
1100015	11	15	ALTA FLORESTA DOESTE	Sim	Sim	2000	Sim	1988	Sim	Sim	2009	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100023	11	23	ARIQUEMES	Sim	Sim	2014	Sim	2005	Sim	Não	2001	Sim	Sim	2015	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Não	Sim	Não	-	Sim
1100031	11	31	CABIXI	Sim	Sim	2014	Sim	1989	Sim	Sim	2014	Sim	Sim	2014	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não
1100049	11	49	CACOAL	Sim	Sim	2010	Sim	2009	Sim	Sim	Não foi atualizada	Sim	Sim	2015	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100056	11	56	CEREJEIRAS	Sim	Sim	2015	Sim	1985	Sim	Sim	2015	Sim	Sim	2015	Não cobra nenhuma taxa	-	-	-	-	-	-	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Sim	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100064	11	64	COLORADO DO OESTE	Sim	Sim	2003	Sim	2009	Sim	Sim	1993	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1100072	11	72	CORUMBIARA	Sim	Sim	2015	Sim	1993	Sim	Não	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1100080	11	80	COSTA MARQUES	Sim	Sim	2005	Sim	2005	Sim	Sim	2015	Sim	Não	2015	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100098	11	98	ESPIGAO D'OESTE	Sim	Sim	2013	Sim	2010	Sim	Sim	Não foi atualizada	Não	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim
1100106	11	106	GUAJARA-MIRIM	Sim	Sim	2015	Sim	2011	Sim	Sim	Não foi atualizada	Sim	Não	2014	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim
1100114	11	114	JARU	Sim	Sim	1997	Sim	2008	Sim	Sim	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100122	11	122	JI-PARANA	Sim	Sim	2001	Sim	1983	Sim	Sim	2014	Sim	Sim	2012	Sim	Sim	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100130	11	130	MACHADINHO D'OESTE	Sim	Sim	2003	Sim	1999	Sim	Sim	2003	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100148	11	148	NOVA BRASILANDIA D'OESTE	Sim	Sim	2013	Sim	2010	Sim	Sim	2009	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Não	-	Sim
1100155	11	155	OURO PRETO DO OESTE	Sim	Sim	2015	Sim	2015	Sim	Não	2015	Sim	Sim	2015	Sim	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Nenhum empreendimento	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	-	Sim
1100189	11	189	PIMENTA BUENO	Sim	Sim	2009	Sim	2013	Sim	Sim	2009	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Sim
