A1	Codigouf	Codigomunicipio	Nome	A118	A119	A120	A121	A122	A123	A124	A125	A126	A127	A128	A129	A130	A131	A132	A133	A134	A135	A136	A137	A138	A139
1100015	11	15	ALTA FLORESTA DOESTE	Sim	Sim	Não	Não	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
1100023	11	23	ARIQUEMES	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100031	11	31	CABIXI	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100049	11	49	CACOAL	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim
1100056	11	56	CEREJEIRAS	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100064	11	64	COLORADO DO OESTE	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100072	11	72	CORUMBIARA	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100080	11	80	COSTA MARQUES	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim
1100098	11	98	ESPIGAO D'OESTE	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-
1100106	11	106	GUAJARA-MIRIM	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100114	11	114	JARU	Não contratou	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-
1100122	11	122	JI-PARANA	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100130	11	130	MACHADINHO D'OESTE	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim
1100148	11	148	NOVA BRASILANDIA D'OESTE	Não contratou	-	-	-	-	-	-	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100155	11	155	OURO PRETO DO OESTE	Sim	Sim	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Sim	Sim	Sim	Sim
1100189	11	189	PIMENTA BUENO	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Não sabe informar	-	-	-	-	-	-
1100205	11	205	PORTO VELHO	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
1100254	11	254	PRESIDENTE MEDICI	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100262	11	262	RIO CRESPO	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Sim	Sim	Sim	Sim
1100288	11	288	ROLIM DE MOURA	Não sabe informar	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não
1100296	11	296	SANTA LUZIA D'OESTE	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100304	11	304	VILHENA	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim
1100320	11	320	SAO MIGUEL DO GUAPORE	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100338	11	338	NOVA MAMORE	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não
1100346	11	346	ALVORADA D'OESTE	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100379	11	379	ALTO ALEGRE DOS PARECIS	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100403	11	403	ALTO PARAISO	Sim	Não	Não	Não	Não	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100452	11	452	BURITIS	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
